instruction,importance
i8x16.abs,0.00691695866573525
i8x16.neg,0.006717834205839245
i32x4.abs,0.00670040580095236
i16x8.neg,0.006633283779567483
i16x8.abs,0.006441472127539806
f32x4.abs,0.006239365867932432
i32x4.neg,0.006032397010394861
i8x16.add,0.0058580643212435
i8x16.popcnt,0.005667635589766698
"i32.trunc_f32_u,f32.reinterpret_i32",0.005659697236953029
"i64.reinterpret_f64,f64.reinterpret_i64",0.005542267037452503
f32x4.sqrt,0.005521769291892363
f32x4.neg,0.005518175478206413
"i64.trunc_sat_f64_u,f64.convert_i64_u",0.0054917270878018665
"f32.convert_i32_u,i32.reinterpret_f32",0.00544906088288432
i32.rotr,0.005390035604585236
i32x4.sub,0.005366769916647904
f64x2.abs,0.0053637944410484945
f64x2.floor,0.005355097554826484
i32.or,0.005354156469685362
"i32.trunc_f64_u,f64.convert_i32_s",0.005311009724391527
f32x4.nearest,0.005304697925857291
i16x8.sub,0.005297654074934275
i32x4.max_u,0.005294625714337113
f32.sqrt,0.005282796539744137
f64x2.neg,0.005277799399548735
f64x2.sub,0.005273356835931679
f32x4.ceil,0.005272037911608763
i8x16.sub,0.0052648539472498306
"i64.trunc_sat_f64_u,f64.convert_i64_s",0.00525349642990653
f64x2.ceil,0.00524276039344455
"i32.reinterpret_f32,f32.reinterpret_i32",0.005236159972822567
f64x2.sqrt,0.00522868732016126
i32.div_s,0.005228007905664833
f32x4.sub,0.005222221552661453
f32x4.add,0.0051906639075360505
f64x2.pmin,0.005179988802938982
f64x2.nearest,0.005176749412261802
"i64.trunc_f64_u,f64.convert_i64_u",0.005172031458489139
i32x4.add,0.005162264069430934
"f32.demote_f64,f64.promote_f32",0.005160685213745721
"i32.trunc_sat_f64_u,f64.convert_i32_u",0.005158978414189587
i32x4.max_s,0.0051413300596307885
f64x2.trunc,0.005139928049761836
f32x4.floor,0.005139841317025262
i16x8.add,0.005135545487505474
f32x4.mul,0.005124270699567636
f64x2.max,0.00512155271274419
i16x8.max_s,0.0051204130210749646
"i32.trunc_sat_f64_s,f64.convert_i32_u",0.005092680646562109
"f32.convert_i32_s,i32.reinterpret_f32",0.005089814555625175
i32x4.min_s,0.005087485629694222
f32x4.div,0.005080176177954953
f64.nearest,0.00507357964732972
"i32.trunc_sat_f32_s,f32.convert_i32_u",0.005069664145372759
f64.div,0.005068596208840306
i32x4.mul,0.005060123069037062
f32x4.trunc,0.005022898135525101
f32x4.ne,0.005022049971723677
i32.div_u,0.005009926555504823
"i64.trunc_sat_f64_u,f64.reinterpret_i64",0.0050097665519875855
"i64.trunc_sat_f64_s,f64.reinterpret_i64",0.005002698258036622
i16x8.q15mulr_sat_s,0.00500259929481737
f64x2.div,0.004997353351761776
"i32.trunc_sat_f32_s,f32.convert_i32_s",0.004992142573395854
"i64.trunc_sat_f64_s,f64.convert_i64_u",0.004990011815024064
"i64.trunc_sat_f64_s,f64.convert_i64_s",0.004988388050854959
i16x8.min_u,0.004987989491038304
i8x16.sub_sat_s,0.004975571885173821
f32x4.le,0.0049748836994468765
"i64.trunc_sat_f32_s,f32.convert_i64_u",0.004972870962937107
f32x4.pmax,0.004971870265609437
f32x4.pmin,0.004964648754971364
i8x16.add_sat_s,0.004962882435918646
f64x2.mul,0.004957080761079821
f32x4.min,0.004949548982955674
f32x4.max,0.004936067307107089
f64.floor,0.00492712924133137
i8x16.add_sat_u,0.004914858051983091
"i64.trunc_f32_u,f32.convert_i64_u",0.004914236216767444
"i32.trunc_sat_f64_s,f64.convert_i32_s",0.004912456797736941
i32.rotl,0.004899255267825458
f32.div,0.004899027791048284
"i32.trunc_f32_u,f32.convert_i32_s",0.004895406587681528
i16x8.avgr_u,0.004894856933429037
"i64.trunc_sat_f32_s,f32.convert_i64_s",0.004886539072320723
f64x2.min,0.004884385983238439
"i64.trunc_f64_s,f64.convert_i64_s",0.004880958204353588
"i64.trunc_f64_s,f64.convert_i64_u",0.004870915429657504
"i32.trunc_f32_s,f32.convert_i32_u",0.004868621590821103
i32x4.lt_s,0.004867271121116628
"i64.trunc_f32_u,f32.convert_i64_s",0.004862405666729647
i32.shr_u,0.0048605042223984745
i16x8.mul,0.004859482033736307
"i64.trunc_f64_u,f64.reinterpret_i64",0.004857455483873533
f32.floor,0.004854944967715858
"i64.trunc_f64_u,f64.convert_i64_s",0.004847046643616975
i32.extend8_s,0.004841294824572641
f64x2.add,0.0048391643682443005
f32.trunc,0.004839082571745839
i8x16.eq,0.004835151141185578
"i32.trunc_f32_s,f32.reinterpret_i32",0.00482956563352789
f32.abs,0.004827655305543492
f64.min,0.0048251246207822555
i8x16.lt_s,0.004820687295129665
i32x4.min_u,0.004818258019361813
f64.sqrt,0.004814585311519248
i32.sub,0.004809090640532709
f32.min,0.0048060094706871715
i8x16.min_s,0.00480494500444566
i32x4.gt_s,0.004803709517912754
f32.add,0.0048016631891609
f32x4.lt,0.004793360462285299
"i32.trunc_sat_f64_u,f64.convert_i32_s",0.0047899047121833065
f32x4.gt,0.0047844600693240525
i16x8.max_u,0.004782984545247637
i16x8.sub_sat_u,0.0047813236020053315
f32x4.eq,0.004773984321742184
"i64.trunc_f32_s,f32.convert_i64_s",0.004773367500895725
i8x16.avgr_u,0.004773224827869501
"i32.trunc_sat_f32_u,f32.convert_i32_s",0.004773118598384176
"i64.trunc_sat_f32_u,f32.convert_i64_u",0.004771924753524491
i32.ctz,0.004771426440805381
f64.trunc,0.004770973112692687
i16x8.sub_sat_s,0.004764074034723375
f32.neg,0.004753826290423929
"i32.trunc_f64_s,f64.convert_i32_s",0.004751751495155485
i32.mul,0.004751604186170065
f64.add,0.004749786478823653
i32.extend16_s,0.004749676457049372
f32.ceil,0.004747782619829514
i32.rem_u,0.0047458856787008395
i32.rem_s,0.004745158100058477
"i32.trunc_f32_u,f32.convert_i32_u",0.004740393978815992
i32x4.ne,0.004739101940039077
f64.ceil,0.0047352597311668245
i8x16.ne,0.004721805668262643
i16x8.add_sat_u,0.00472155880667811
i16x8.add_sat_s,0.004720432242136099
"i64.trunc_f32_s,f32.convert_i64_u",0.0047168571657127826
i32x4.eq,0.004716238540598977
i8x16.sub_sat_u,0.004713167902974941
i32x4.gt_u,0.004711898506031026
"i64.trunc_sat_f32_u,f32.convert_i64_s",0.004710852740224387
i32.add,0.004709259340946934
"i32.trunc_f64_u,f64.convert_i32_u",0.004699082677603448
f64.max,0.004696897760111921
i32.popcnt,0.004688551568983733
f32.nearest,0.004686823090872036
f64x2.pmax,0.004682064478103349
f32.max,0.004679105586818941
"i32.trunc_f64_s,f64.convert_i32_u",0.004677415990754413
i8x16.le_s,0.004666618579732896
i32x4.lt_u,0.004661246250026762
f32.copysign,0.0046572263780315926
"i32.trunc_f32_s,f32.convert_i32_s",0.004653834732807285
i32.clz,0.0046499512803651185
f64.neg,0.0046397915924570364
"i32.trunc_sat_f32_u,f32.convert_i32_u",0.004636642556243058
"i32.trunc_sat_f32_u,f32.reinterpret_i32",0.004626753938196296
f32.mul,0.00462573982242056
f32x4.ge,0.004620392042439918
i8x16.lt_u,0.004611754905325226
f64x2.ne,0.004610085911618105
f64x2.lt,0.004605678424798012
i8x16.le_u,0.004604077955989708
f64.abs,0.004603239179392884
f64.mul,0.004599647500276169
f64x2.le,0.004598755178759278
i8x16.max_u,0.004597533762431228
f32.sub,0.004597318861023277
i8x16.max_s,0.004595005350656553
i16x8.min_s,0.004586634207819735
i32.and,0.004585295882873599
i32.shr_s,0.0045838484987888225
i16x8.le_s,0.004575563084134742
"i32.trunc_sat_f32_s,f32.reinterpret_i32",0.004572986969517921
i8x16.ge_u,0.00456835645693352
i8x16.gt_u,0.004566124145206303
f64.copysign,0.004562766854948208
f64x2.ge,0.004562696302411231
f64x2.eq,0.004548315709342446
i32x4.le_u,0.004545711567779128
"i64.trunc_f64_s,f64.reinterpret_i64",0.004544881904115119
f64x2.gt,0.004515987734720745
i32.shl,0.004515046410209684
i16x8.eq,0.004511737204941703
f64.sub,0.004505028888748123
i32x4.ge_u,0.004500137064349132
i8x16.min_u,0.004494189714220598
i32.xor,0.00449389907248222
i16x8.gt_s,0.004478664946659508
i16x8.lt_u,0.004454174570846644
i16x8.ne,0.004445487197204678
i32x4.le_s,0.004444257668529241
i8x16.ge_s,0.004441780223783581
i16x8.le_u,0.00444105675519273
i8x16.gt_s,0.00443657722864705
i32x4.ge_s,0.004408307800769397
i16x8.lt_s,0.004406562763304285
i16x8.ge_u,0.00438252971734519
i16x8.gt_u,0.004360593671036137
i16x8.ge_s,0.00431164952327487
