instruction,importance
MOVLHPS,0.001986661208029892
VMOVD,0.001985531739723496
VPSUBUSW,0.0019833497744326484
VMINSD,0.001982437416646721
VPMOVSXBD,0.0019811750000570177
VPMINUD,0.001980529176284295
PSRAD,0.001975149014640784
VMOVLHPS,0.001974913697350915
VPSLLVD,0.0019745093582760917
TZCNT,0.0019735872080287892
VPSUBUSW,0.001971250980560015
AESDECLAST,0.001969663426901004
PMOVZXDQ,0.001969031865893578
VPCMPGTQ,0.001966802792781536
VPCMPEQW,0.001964589035037915
VPSIGNW,0.0019622229842739367
VPMAXSW,0.001961854698916389
VPMULUDQ,0.0019609669567759833
PMULLW,0.0019588087111351246
VPSRLVD,0.001958524601204916
VPSLLDQ,0.0019545588385313094
VPSLLW,0.0019544841654479277
VPUNPCKHQDQ,0.001953723322818384
REX,0.001953549452379425
VPMADDWD,0.001953536520766397
VRSQRTSS,0.0019526766758867053
VPBROADCASTQ,0.001951977117305738
VPMOVSXDQ,0.001951377738325482
VMOVHLPS,0.0019512317431761184
VPUNPCKHBW,0.0019500986367723472
VUNPCKLPS,0.0019497592686547479
PSUBSW,0.0019481479265636625
VPADDUSB,0.0019466700780673126
PSLLQ,0.001945775526171792
VPMAXSD,0.0019439426941384459
LZCNT,0.0019425291343891338
VSHUFPD,0.0019421534076982786
VPSIGNB,0.001939877871238336
TZCNT,0.0019379401422189772
VSHUFPS,0.0019373204449259825
AESENCLAST,0.001935980324538623
AESENC,0.0019358528361195693
VTESTPD,0.0019283905977447217
VPUNPCKLQDQ,0.001923321242000886
VPMAXSB,0.0019225904470204739
VPMAXUB,0.0019208357702948863
PSRAW,0.0019208145392200981
VPMULHUW,0.001920278131928808
PMULLD,0.0019197064876597637
VPABSW,0.001918863385422355
UNPCKLPS,0.0019188104833452236
PMOVMSKB,0.0019184185711868965
PCMPGTQ,0.0019183272524669122
VPMOVZXBW,0.0019131520141795562
PUNPCKHQDQ,0.0019130646101877102
VSQRTSS,0.0019109423066112049
PMAXUB,0.001910223505287068
VPALIGNR,0.0019077767797036679
VPMOVMSKB,0.0019065086462082684
VPSIGNB,0.001905556288308978
VAESIMC,0.0019047027906936435
VPERMILPD,0.001904651733794257
VPMADDUBSW,0.0019035038824469282
PSUBSB,0.0019020365794681071
LZCNT,0.0019019277365219162
UNPCKHPS,0.0019016725164609086
PUNPCKLBW,0.0018995806031254696
VSUBSS,0.0018993708534641414
VMOVSLDUP,0.0018990460395541086
PMULHW,0.001897031138366369
VUNPCKHPD,0.0018950430353015884
VPABSD,0.0018945126844711435
VPACKSSDW,0.001894322660934065
VMAXSD,0.001893063172710742
VPUNPCKHWD,0.0018921647362050134
VMULSD,0.001890490023714686
VTESTPS,0.0018873297987333005
VPMOVZXWQ,0.0018872344548221131
VPADDUSB,0.0018855057916301395
VPSLLD,0.0018851372855111096
PMINUB,0.0018834463548472373
VPERMILPD,0.0018811412301512679
VRSQRTPS,0.0018807145989572257
PSLLD,0.0018802303132561303
VPUNPCKHDQ,0.0018766747879011805
VPUNPCKHDQ,0.0018735583297165637
LEA,0.001872527779891994
VPERMD,0.001867694068424249
PMAXSD,0.0018668825519946538
VPMULHW,0.0018667165169747335
VPCMPGTW,0.0018637404617215388
AESDEC,0.0018636369640608645
VPADDUSW,0.001863031406220027
VPAVGB,0.0018628411898610297
MOVQ,0.0018626058329282373
VPERMILPD,0.0018614435356417655
PUNPCKHWD,0.0018610094789784193
VPSLLVQ,0.001859248669953128
VMOVD,0.0018578388782639307
VPMULLD,0.0018564232032901847
VPMULLW,0.001855521714025997
VPMINUB,0.001854659208344423
VPSHUFD,0.0018523478163695103
PABSB,0.001850983946138735
VMULPD,0.0018495950037801727
VPSRLD,0.0018432200193020758
VPSIGND,0.0018431295419614007
VPMAXUD,0.001842304745766784
MOVSHDUP,0.0018416976786133244
VPSHUFLW,0.0018407560645771618
VTESTPS,0.0018398567500921255
